epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.016,30.485,Motion,0.2415,0.1471,0.5049,0.1435,133.33
1,14.851,46.552,Motion,0.156,0.0776,0.4113,0.057,133.33
2,30.901,62.886,Motion,0.0702,0.0506,0.1719,0.0147,133.33
3,46.985,80.072,Normal,0.0482,0.0279,0.1575,0.0379,125.22
4,63.348,95.887,Normal,0.1211,0.0947,0.326,0.1094,91.89
5,80.512,106.102,Normal,0.1408,0.0849,0.326,0.0932,66.67
6,96.337,119.808,Normal,0.0725,0.0407,0.1516,0.0427,64.87
