epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.024,29.07,Motion,0.2775,0.2355,0.8306,0.1486,133.33
1,14.032,42.934,Motion,0.1248,0.1032,0.4088,0.0306,133.33
2,29.56,53.276,Motion,0.0778,0.1019,0.5419,0.0879,117.04
3,43.334,66.12,Motion,0.1612,0.1739,0.5419,0.1765,80.78
4,53.62,95.609,Motion,0.2634,0.1517,0.5091,0.1779,59.19
5,67.392,107.515,Motion,0.1783,0.1489,0.4855,0.1269,53.96
6,96.057,119.771,Normal,0.09,0.0828,0.3008,0.0998,50.47
