epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.022,36.009,Motion,0.1985,0.1489,0.5129,0.1578,133.33
1,18.951,50.68,Motion,0.0917,0.0872,0.3153,0.054,133.33
2,36.597,63.26,Motion,0.029,0.019,0.052,0.0157,133.33
3,51.024,76.676,Motion,0.0314,0.0515,0.1898,0.0763,133.33
4,63.814,92.2,Motion,0.0476,0.0586,0.1896,0.0898,125.79
5,77.333,106.636,Motion,0.0898,0.1035,0.4311,0.1048,88.78
6,92.778,120.767,Motion,0.1451,0.1439,0.4309,0.1437,60.0
7,107.231,121.211,Motion,0.1536,0.1587,0.4308,0.1189,60.0
