Timestamp,Run,Rows,Avg_HR_clean,Avg_RR_clean,Avg_Range,Range_SD,HR_SD,RR_SD,HR_P2P,RR_P2P,Range_Slope,SQI,Final_Accurate_HR,HR_Class,RR_Class,Stress_Class
26-11-2025 22:28,1,43,60.99326786969862,11.446225804747757,0.38026570688234956,0.05432359187804172,10.318749262009936,1.6135621790528953,40.72361654487552,5.891019533578166,-7.364483448129808e-05,18.408208393970586,71.49326786969863,Normal,Low,Very High Stress
26-11-2025 22:38,2,38,112.35593212259147,13.327636326097883,0.6417460185499465,0.14911926329097325,11.293139953495613,0.9089695806335251,38.40411176708366,2.88806426381411,0.011498025322104878,6.7060417140656154,122.85593212259147,High,Normal,Very High Stress
26-11-2025 22:40,3,30,70.03242895478492,13.219522085310313,0.35011829306168624,0.10074712116294629,4.144622525585784,0.87721235332559,16.97707327688215,3.1371283261625322,-0.007365740262039706,9.925841934308187,80.53242895478492,Normal,Normal,Very High Stress
26-11-2025 22:42,4,45,63.01977802190482,12.718786316403728,0.5361375110472827,0.10130199571255354,7.248831639233495,1.5862997670434185,21.89199779459917,4.508294135213651,0.007656116383531573,9.871473833916562,73.51977802190481,Normal,Normal,Very High Stress
26-11-2025 22:43,5,41,74.9711713585067,13.61884688665603,0.5487753380001625,0.12602558286111465,2.8404212740804358,1.3366879970240135,10.68552400019756,3.693173082670196,-0.009175573006010894,7.934896846317631,85.4711713585067,Normal,Normal,Very High Stress
26-11-2025 22:46,6,39,77.86492380468339,13.285722444428897,0.5947549346127863,0.09566079693137942,9.666241600805897,1.1303656231368409,25.391233786237237,3.2568172631834003,-0.005899682087895248,10.453603064976893,88.36492380468339,Normal,Normal,Very High Stress
26-11-2025 22:51,7,36,63.976247792708556,14.108961760119179,0.8352860408340314,0.08360205344445064,5.913453816301141,1.3430894758888656,23.753622874892635,3.7685537905620095,0.004300720855476321,11.961428682663277,74.47624779270856,Normal,Normal,Very High Stress
26-11-2025 22:53,8,40,75.03708121874793,13.643416981631253,0.6504392130197821,0.1944087926213908,17.443369045249142,1.2388280920669852,45.40209185494598,3.5579335576426416,0.01159776716492318,5.14380027012199,85.53708121874793,Normal,Normal,Very High Stress
26-11-2025 22:55,9,40,85.1019092091799,14.316183673442936,0.505323756013667,0.1345930106835026,8.947282060714077,0.9955553150453523,30.171129290791185,2.968065602523783,-0.0020300122596845324,7.429806309567696,95.6019092091799,Elevated,Normal,Very High Stress
26-11-2025 22:56,10,38,57.56297017507254,14.147521686193311,0.5817518129693715,0.06950251746658734,9.515404647676363,1.2456353261986193,29.318786137565986,4.3317674471320355,-0.0060682709269875975,14.38796803987338,68.06297017507254,Normal,Normal,Very High Stress
26-11-2025 22:58,11,34,78.50380360438047,12.327168902532884,0.37799947103283354,0.07328333654916162,3.562460781230188,0.8894971578656068,14.002162391486735,2.5156080831563,-0.0008742508374969737,13.645666901767727,89.00380360438047,Normal,Normal,Very High Stress
