epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
88,2640.0,2669.6,Light,0.65,0.1167,0.1167,0.65,0.1167
89,2670.0,2699.6,Wake,0.58,0.58,0.14,0.14,0.14
90,2700.0,2729.6,Wake,0.58,0.58,0.14,0.14,0.14
91,2730.0,2759.6,Wake,0.58,0.58,0.14,0.14,0.14
92,2760.0,2789.6,Wake,0.58,0.58,0.14,0.14,0.14
93,2790.0,2819.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
94,2820.0,2849.6,Wake,0.58,0.58,0.14,0.14,0.14
95,2850.0,2879.6,Wake,0.58,0.58,0.14,0.14,0.14
96,2880.0,2909.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
97,2910.0,2939.6,Wake,0.58,0.58,0.14,0.14,0.14
98,2940.0,2969.6,Wake,0.58,0.58,0.14,0.14,0.14
99,2970.0,2999.6,Wake,0.58,0.58,0.14,0.14,0.14
100,3000.0,3029.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
101,3030.0,3059.6,Light,0.65,0.1167,0.1167,0.65,0.1167
102,3060.0,3089.6,Light,0.65,0.1167,0.1167,0.65,0.1167
103,3090.0,3119.6,Wake,0.58,0.58,0.14,0.14,0.14
104,3120.0,3149.6,Wake,0.58,0.58,0.14,0.14,0.14
105,3150.0,3179.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
106,3180.0,3209.6,Light,0.65,0.1167,0.1167,0.65,0.1167
107,3210.0,3239.6,Light,0.65,0.1167,0.1167,0.65,0.1167
108,3240.0,3269.6,Light,0.65,0.1167,0.1167,0.65,0.1167
109,3270.0,3299.6,Light,0.65,0.1167,0.1167,0.65,0.1167
110,3300.0,3329.6,Wake,0.58,0.58,0.14,0.14,0.14
111,3330.0,3359.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
112,3360.0,3389.6,Light,0.65,0.1167,0.1167,0.65,0.1167
113,3390.0,3419.6,Wake,0.58,0.58,0.14,0.14,0.14
114,3420.0,3449.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
115,3450.0,3479.6,Light,0.65,0.1167,0.1167,0.65,0.1167
116,3480.0,3509.6,Wake,0.58,0.58,0.14,0.14,0.14
117,3510.0,3539.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
118,3540.0,3569.6,Wake,0.58,0.58,0.14,0.14,0.14
119,3570.0,3599.6,Wake,0.58,0.58,0.14,0.14,0.14
120,3600.0,3629.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
121,3630.0,3659.6,Wake,0.58,0.58,0.14,0.14,0.14
122,3660.0,3689.6,Wake,0.58,0.58,0.14,0.14,0.14
123,3690.0,3719.6,Wake,0.58,0.58,0.14,0.14,0.14
124,3720.0,3749.6,Wake,0.58,0.58,0.14,0.14,0.14
125,3750.0,3779.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
126,3780.0,3809.6,Wake,0.58,0.58,0.14,0.14,0.14
127,3810.0,3839.6,Wake,0.58,0.58,0.14,0.14,0.14
128,3840.0,3869.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
129,3870.0,3899.6,Light,0.65,0.1167,0.1167,0.65,0.1167
130,3900.0,3929.6,Light,0.65,0.1167,0.1167,0.65,0.1167
131,3930.0,3959.6,Light,0.65,0.1167,0.1167,0.65,0.1167
132,3960.0,3989.6,Wake,0.58,0.58,0.14,0.14,0.14
