Timestamp,Run,Rows,Avg_HR_clean,Avg_RR_clean,Avg_Range,Range_SD,HR_SD,RR_SD,HR_P2P,RR_P2P,Range_Slope,SQI,Final_Accurate_HR,HR_Class,RR_Class,Stress_Class
22-01-2026 21:24,1,31,94.89934557288123,11.962371670973718,0.7090000000068459,2.8237802661336825e-13,20.209122882031867,0.9898653987562814,61.75415589503569,3.2605330819795064,-2.2893355215559747e-14,3541352037880.763,114.71998049351615,Elevated,Low,Very High Stress
22-01-2026 21:27,2,22,56.19564827578677,11.655223420729099,0.7090000000070027,5.203667490220581e-14,3.5704682507918557,0.2881718021706209,11.992445531259797,0.8765968755044078,7.802044255813011e-16,19217215586494.18,76.0162831964217,Normal,Low,Very High Stress
22-01-2026 21:38,3,11,73.73304035595129,11.59125334574405,0.7090000000069323,1.4135846811492247e-14,4.853499865480332,0.09386376889862551,14.419143421441959,0.27695270342418077,-4.2027544778081065e-15,70742136168808.36,93.5536752765862,Elevated,Low,Very High Stress
22-01-2026 21:44,4,29,75.63021767815948,11.909537493184565,0.7090000000064776,2.957940291891149e-13,8.202942834467237,0.08945592414825276,24.446548329120567,0.37702823844341005,-3.455544018474743e-14,3380730850928.2095,95.4508525987944,Elevated,Low,Very High Stress
22-01-2026 21:55,5,15,53.59397993754876,12.573949010462814,0.70900000000614,1.2336279709318943e-13,2.1733738133527254,0.27918161123904783,6.563744725081747,0.8611960329252852,2.626310592736805e-14,8106171581409.512,73.41461485818368,Normal,Normal,Very High Stress
22-01-2026 22:14,7,33,65.80092817612217,13.656518729008118,0.7090000000066604,8.714735393657167e-14,6.970231093695775,0.1704252525879754,21.22501127840613,0.5510981246190827,-4.438268701885489e-15,11474817706201.71,85.62156309675709,Normal,Normal,Very High Stress
22-01-2026 22:19,8,28,73.73292197622467,13.458523901071208,0.7090000000068939,3.514780937025448e-13,1.6569012532227019,0.2668930191987402,4.9197211503188925,0.8484522870956202,4.186724565227249e-14,2845127528335.5156,93.55355689685959,Elevated,Normal,Very High Stress
22-01-2026 22:32,9,32,68.58000452601539,14.36166544833399,0.7090000000065819,4.3203096709618245e-13,0.7540481607410588,0.2863917483231746,3.3016285313673563,0.9892352490653007,-4.3810206592408904e-14,2314648893622.8765,88.4006394466503,Normal,Normal,Very High Stress
22-01-2026 22:34,10,16,63.13264974429042,13.147007969648705,0.7090000000064137,8.529652100707879e-14,2.5656943153325513,0.2443054926126143,7.921921273418235,0.7565757636079216,1.7085552875456075e-14,11723807585505.271,82.95328466492535,Normal,Normal,Very High Stress
22-01-2026 22:52,11,26,53.95392021015386,12.517861899268667,0.709000000006568,6.286926258721421e-14,1.71876936821657,0.25000317654844667,5.852037531304568,0.7972767279499973,7.119453005806964e-15,15906024006767.516,73.77455513078878,Normal,Normal,Very High Stress
